n,Egb,dx,dy,rx,ry,T,steps,f
0.46,0.984,0.62,2.36,1,12,600,9000,lammps_0.984_0.46_0.62_2.36_1_12_600_9000
0.71,0.984,0.23,2.46,2,7,300,86000,lammps_0.984_0.71_0.23_2.46_2_7_300_86000
0.45,0.984,7.88,2.78,2,14,500,148000,lammps_0.984_0.45_7.88_2.78_2_14_500_148000
0.87,0.984,3.2,3.19,3,5,1000,2000,lammps_0.984_0.87_3.20_3.19_3_5_1000_2000
0.43,0.984,5.76,3.49,2,7,300,1000,lammps_0.984_0.43_5.76_3.49_2_7_300_1000
0.44,0.984,7.19,1.85,2,9,400,15000,lammps_0.984_0.44_7.19_1.85_2_9_400_15000
0.0,0.984,0.81,1.94,3,2,900,63000,lammps_0.984_0.00_0.81_1.94_3_2_900_63000
0.04,0.984,4.89,1.83,2,6,800,7000,lammps_0.984_0.04_4.89_1.83_2_6_800_7000
0.12,0.984,1.27,3.26,4,5,800,5000,lammps_0.984_0.12_1.27_3.26_4_5_800_5000
0.15,0.984,4.41,1.8,2,5,1000,1000,lammps_0.984_0.15_4.41_1.80_2_5_1000_1000
0.16,0.984,1.36,3.19,4,4,300,1000,lammps_0.984_0.16_1.36_3.19_4_4_300_1000
0.17,0.984,1.01,0.13,1,6,500,5000,lammps_0.984_0.17_1.01_0.13_1_6_500_5000
0.19,0.984,7.79,2.82,4,2,600,3000,lammps_0.984_0.19_7.79_2.82_4_2_600_3000
0.22,0.984,5.8,2.0,4,4,1300,0,lammps_0.984_0.22_5.80_2.00_4_4_1300_0
0.02,0.984,6.23,3.05,3,7,600,8000,lammps_0.984_0.02_6.23_3.05_3_7_600_8000
0.33,0.984,4.91,0.96,3,7,400,9000,lammps_0.984_0.33_4.91_0.96_3_7_400_9000
0.34,0.984,0.08,3.37,2,14,800,12000,lammps_0.984_0.34_0.08_3.37_2_14_800_12000
0.35,0.984,3.94,0.83,1,10,800,7000,lammps_0.984_0.35_3.94_0.83_1_10_800_7000
0.36,0.984,0.27,1.45,1,7,500,121000,lammps_0.984_0.36_0.27_1.45_1_7_500_121000
0.38,0.984,4.53,3.04,1,8,500,61000,lammps_0.984_0.38_4.53_3.04_1_8_500_61000
0.39,0.984,0.27,0.69,2,9,300,83000,lammps_0.984_0.39_0.27_0.69_2_9_300_83000
0.4,0.984,0.14,0.12,2,5,300,13000,lammps_0.984_0.40_0.14_0.12_2_5_300_13000
0.41,0.984,1.73,0.24,2,11,500,5000,lammps_0.984_0.41_1.73_0.24_2_11_500_5000
0.32,0.984,0.21,0.22,2,7,300,62000,lammps_0.984_0.32_0.21_0.22_2_7_300_62000
0.42,0.984,2.75,3.6,1,12,900,41000,lammps_0.984_0.42_2.75_3.60_1_12_900_41000
0.56,0.985,1.01,0.03,1,8,1100,5000,lammps_0.985_0.56_1.01_0.03_1_8_1100_5000
0.52,0.985,5.83,3.61,2,13,400,3000,lammps_0.985_0.52_5.83_3.61_2_13_400_3000
0.45,0.985,3.78,1.84,2,11,400,3000,lammps_0.985_0.45_3.78_1.84_2_11_400_3000
0.47,0.985,5.28,1.94,2,8,600,2000,lammps_0.985_0.47_5.28_1.94_2_8_600_2000
0.7,0.985,5.89,1.6,2,5,400,8000,lammps_0.985_0.70_5.89_1.60_2_5_400_8000
0.44,0.985,5.85,1.35,2,8,400,181000,lammps_0.985_0.44_5.85_1.35_2_8_400_181000
0.5,0.985,1.63,2.8,2,2,700,67000,lammps_0.985_0.50_1.63_2.80_2_2_700_67000
0.72,0.985,1.38,0.93,4,5,800,6000,lammps_0.985_0.72_1.38_0.93_4_5_800_6000
0.88,0.985,1.24,0.61,1,4,300,52000,lammps_0.985_0.88_1.24_0.61_1_4_300_52000
0.76,0.985,2.26,3.56,3,7,1000,6000,lammps_0.985_0.76_2.26_3.56_3_7_1000_6000
0.81,0.985,1.53,1.52,4,2,900,37000,lammps_0.985_0.81_1.53_1.52_4_2_900_37000
0.83,0.985,6.12,0.22,3,2,1000,4000,lammps_0.985_0.83_6.12_0.22_3_2_1000_4000
0.9,0.985,5.34,1.71,2,5,800,7000,lammps_0.985_0.90_5.34_1.71_2_5_800_7000
0.93,0.985,3.97,2.46,3,5,1000,10000,lammps_0.985_0.93_3.97_2.46_3_5_1000_10000
0.43,0.985,1.8,0.67,1,14,400,7000,lammps_0.985_0.43_1.80_0.67_1_14_400_7000
0.98,0.985,2.66,1.92,3,7,900,0,lammps_0.985_0.98_2.66_1.92_3_7_900_0
0.73,0.985,2.22,3.26,3,5,1100,1000,lammps_0.985_0.73_2.22_3.26_3_5_1100_1000
0.42,0.985,1.88,0.72,1,12,600,45000,lammps_0.985_0.42_1.88_0.72_1_12_600_45000
0.92,0.985,3.63,0.33,3,6,800,11000,lammps_0.985_0.92_3.63_0.33_3_6_800_11000
0.4,0.985,5.28,2.2,1,10,900,2000,lammps_0.985_0.40_5.28_2.20_1_10_900_2000
0.0,0.985,0.75,1.64,2,4,1000,3000,lammps_0.985_0.00_0.75_1.64_2_4_1000_3000
0.05,0.985,6.74,3.34,4,7,400,4000,lammps_0.985_0.05_6.74_3.34_4_7_400_4000
0.12,0.985,1.16,1.02,4,2,300,119000,lammps_0.985_0.12_1.16_1.02_4_2_300_119000
0.14,0.985,2.3,3.3,1,7,500,246000,lammps_0.985_0.14_2.30_3.30_1_7_500_246000
0.15,0.985,1.82,1.64,2,5,400,27000,lammps_0.985_0.15_1.82_1.64_2_5_400_27000
0.17,0.985,1.22,2.88,2,3,1300,0,lammps_0.985_0.17_1.22_2.88_2_3_1300_0
0.19,0.985,1.07,2.25,2,4,600,6000,lammps_0.985_0.19_1.07_2.25_2_4_600_6000
0.21,0.985,1.77,0.1,1,7,600,80000,lammps_0.985_0.21_1.77_0.10_1_7_600_80000
0.41,0.985,1.92,1.36,1,11,800,204000,lammps_0.985_0.41_1.92_1.36_1_11_800_204000
0.29,0.985,3.68,1.97,4,7,400,7000,lammps_0.985_0.29_3.68_1.97_4_7_400_7000
0.31,0.985,1.69,1.46,4,2,400,5000,lammps_0.985_0.31_1.69_1.46_4_2_400_5000
0.33,0.985,4.81,0.13,2,6,500,11000,lammps_0.985_0.33_4.81_0.13_2_6_500_11000
0.34,0.985,1.53,1.69,2,8,400,9000,lammps_0.985_0.34_1.53_1.69_2_8_400_9000
0.35,0.985,6.13,3.43,1,10,400,27000,lammps_0.985_0.35_6.13_3.43_1_10_400_27000
0.36,0.985,7.22,0.26,1,11,800,183000,lammps_0.985_0.36_7.22_0.26_1_11_800_183000
0.37,0.985,4.09,1.69,1,15,600,5000,lammps_0.985_0.37_4.09_1.69_1_15_600_5000
0.38,0.985,6.96,1.35,2,4,1300,6000,lammps_0.985_0.38_6.96_1.35_2_4_1300_6000
0.28,0.985,7.55,0.05,4,4,500,8000,lammps_0.985_0.28_7.55_0.05_4_4_500_8000
0.69,0.986,7.0,1.3,3,7,500,72000,lammps_0.986_0.69_7.00_1.30_3_7_500_72000
0.58,0.986,1.52,0.33,3,2,1200,7000,lammps_0.986_0.58_1.52_0.33_3_2_1200_7000
0.5,0.986,6.54,2.54,2,5,800,12000,lammps_0.986_0.50_6.54_2.54_2_5_800_12000
0.55,0.986,3.08,3.36,2,5,700,31000,lammps_0.986_0.55_3.08_3.36_2_5_700_31000
0.54,0.986,1.07,1.19,1,13,300,1000,lammps_0.986_0.54_1.07_1.19_1_13_300_1000
0.7,0.986,0.02,0.93,3,5,500,14000,lammps_0.986_0.70_0.02_0.93_3_5_500_14000
0.56,0.986,1.47,0.26,2,12,1200,1000,lammps_0.986_0.56_1.47_0.26_2_12_1200_1000
0.73,0.986,1.16,2.29,3,5,800,21000,lammps_0.986_0.73_1.16_2.29_3_5_800_21000
0.83,0.986,3.17,0.92,3,2,700,2000,lammps_0.986_0.83_3.17_0.92_3_2_700_2000
0.75,0.986,2.61,1.07,4,2,1100,3000,lammps_0.986_0.75_2.61_1.07_4_2_1100_3000
0.81,0.986,2.65,1.42,2,4,700,36000,lammps_0.986_0.81_2.65_1.42_2_4_700_36000
0.85,0.986,5.12,1.32,4,5,400,12000,lammps_0.986_0.85_5.12_1.32_4_5_400_12000
0.86,0.986,0.22,1.77,1,7,500,1000,lammps_0.986_0.86_0.22_1.77_1_7_500_1000
0.9,0.986,2.54,1.51,2,5,600,293000,lammps_0.986_0.90_2.54_1.51_2_5_600_293000
0.94,0.986,6.35,3.5,4,6,800,85000,lammps_0.986_0.94_6.35_3.50_4_6_800_85000
0.48,0.986,4.44,2.44,2,14,700,167000,lammps_0.986_0.48_4.44_2.44_2_14_700_167000
0.74,0.986,3.93,2.8,3,7,300,82000,lammps_0.986_0.74_3.93_2.80_3_7_300_82000
0.96,0.986,0.59,1.12,2,6,800,24000,lammps_0.986_0.96_0.59_1.12_2_6_800_24000
0.44,0.986,7.84,2.9,4,2,300,9000,lammps_0.986_0.44_7.84_2.90_4_2_300_9000
0.42,0.986,1.19,2.09,3,6,500,0,lammps_0.986_0.42_1.19_2.09_3_6_500_0
0.46,0.986,1.53,3.23,1,14,700,4000,lammps_0.986_0.46_1.53_3.23_1_14_700_4000
0.0,0.986,2.44,0.96,3,2,1300,154000,lammps_0.986_0.00_2.44_0.96_3_2_1300_154000
0.07,0.986,5.91,0.3,3,5,300,8000,lammps_0.986_0.07_5.91_0.30_3_5_300_8000
0.1,0.986,7.22,3.01,4,5,500,12000,lammps_0.986_0.10_7.22_3.01_4_5_500_12000
0.17,0.986,6.71,2.58,1,6,800,2000,lammps_0.986_0.17_6.71_2.58_1_6_800_2000
0.19,0.986,5.65,3.42,4,4,400,78000,lammps_0.986_0.19_5.65_3.42_4_4_400_78000
0.29,0.986,1.01,2.14,2,6,300,70000,lammps_0.986_0.29_1.01_2.14_2_6_300_70000
0.32,0.986,2.53,2.94,1,11,600,188000,lammps_0.986_0.32_2.53_2.94_1_11_600_188000
0.18,0.986,3.18,2.91,2,7,600,8000,lammps_0.986_0.18_3.18_2.91_2_7_600_8000
0.35,0.986,0.38,3.29,2,5,500,2000,lammps_0.986_0.35_0.38_3.29_2_5_500_2000
0.36,0.986,0.89,1.02,1,14,700,3000,lammps_0.986_0.36_0.89_1.02_1_14_700_3000
0.37,0.986,5.25,1.62,3,5,400,2000,lammps_0.986_0.37_5.25_1.62_3_5_400_2000
0.38,0.986,0.23,0.26,1,4,700,1000,lammps_0.986_0.38_0.23_0.26_1_4_700_1000
0.39,0.986,4.96,0.32,1,9,700,3000,lammps_0.986_0.39_4.96_0.32_1_9_700_3000
0.4,0.986,5.7,0.73,1,10,700,25000,lammps_0.986_0.40_5.70_0.73_1_10_700_25000
0.41,0.986,1.42,0.31,2,8,1100,2000,lammps_0.986_0.41_1.42_0.31_2_8_1100_2000
0.33,0.986,3.37,0.84,3,2,600,50000,lammps_0.986_0.33_3.37_0.84_3_2_600_50000
0.56,0.987,5.15,0.76,4,2,1000,2000,lammps_0.987_0.56_5.15_0.76_4_2_1000_2000
0.43,0.987,0.61,1.17,1,7,500,26000,lammps_0.987_0.43_0.61_1.17_1_7_500_26000
0.44,0.987,5.88,2.17,2,13,600,1000,lammps_0.987_0.44_5.88_2.17_2_13_600_1000
0.45,0.987,1.36,0.14,2,14,300,179000,lammps_0.987_0.45_1.36_0.14_2_14_300_179000
0.46,0.987,4.85,1.11,1,14,600,1000,lammps_0.987_0.46_4.85_1.11_1_14_600_1000
0.5,0.987,0.19,1.19,1,8,1300,40000,lammps_0.987_0.50_0.19_1.19_1_8_1300_40000
0.53,0.987,1.16,1.88,1,15,1300,2000,lammps_0.987_0.53_1.16_1.88_1_15_1300_2000
0.77,0.987,4.12,2.13,4,6,300,204000,lammps_0.987_0.77_4.12_2.13_4_6_300_204000
0.42,0.987,0.54,1.1,3,2,500,9000,lammps_0.987_0.42_0.54_1.10_3_2_500_9000
0.83,0.987,1.83,1.03,3,2,300,17000,lammps_0.987_0.83_1.83_1.03_3_2_300_17000
0.85,0.987,1.58,0.1,4,6,400,0,lammps_0.987_0.85_1.58_0.10_4_6_400_0
0.88,0.987,3.4,1.71,4,3,300,21000,lammps_0.987_0.88_3.40_1.71_4_3_300_21000
0.89,0.987,3.63,2.13,3,3,300,1000,lammps_0.987_0.89_3.63_2.13_3_3_300_1000
0.92,0.987,0.45,0.31,3,6,900,36000,lammps_0.987_0.92_0.45_0.31_3_6_900_36000
0.93,0.987,7.44,2.02,4,5,900,30000,lammps_0.987_0.93_7.44_2.02_4_5_900_30000
0.96,0.987,6.93,2.65,2,6,700,60000,lammps_0.987_0.96_6.93_2.65_2_6_700_60000
0.81,0.987,5.9,0.98,4,2,700,51000,lammps_0.987_0.81_5.90_0.98_4_2_700_51000
0.41,0.987,0.87,3.43,1,11,400,2000,lammps_0.987_0.41_0.87_3.43_1_11_400_2000
0.29,0.987,1.16,2.18,2,7,300,68000,lammps_0.987_0.29_1.16_2.18_2_7_300_68000
0.38,0.987,5.46,3.16,1,13,700,1000,lammps_0.987_0.38_5.46_3.16_1_13_700_1000
0.0,0.987,4.13,0.95,3,2,800,2000,lammps_0.987_0.00_4.13_0.95_3_2_800_2000
0.16,0.987,0.75,3.55,4,7,700,3000,lammps_0.987_0.16_0.75_3.55_4_7_700_3000
0.17,0.987,0.55,0.76,1,3,1000,125000,lammps_0.987_0.17_0.55_0.76_1_3_1000_125000
0.18,0.987,0.17,1.2,2,7,600,3000,lammps_0.987_0.18_0.17_1.20_2_7_600_3000
0.25,0.987,0.45,0.01,2,2,600,0,lammps_0.987_0.25_0.45_0.01_2_2_600_0
0.28,0.987,0.71,0.09,4,4,400,143000,lammps_0.987_0.28_0.71_0.09_4_4_400_143000
0.4,0.987,0.72,1.23,2,5,500,58000,lammps_0.987_0.40_0.72_1.23_2_5_500_58000
0.19,0.987,1.41,2.3,2,4,300,3000,lammps_0.987_0.19_1.41_2.30_2_4_300_3000
0.31,0.987,3.36,2.46,1,8,600,22000,lammps_0.987_0.31_3.36_2.46_1_8_600_22000
0.32,0.987,4.13,1.15,1,11,1000,1000,lammps_0.987_0.32_4.13_1.15_1_11_1000_1000
0.33,0.987,3.55,2.86,3,2,600,72000,lammps_0.987_0.33_3.55_2.86_3_2_600_72000
0.34,0.987,3.66,2.35,2,14,400,9000,lammps_0.987_0.34_3.66_2.35_2_14_400_9000
0.35,0.987,6.11,1.15,1,10,700,1000,lammps_0.987_0.35_6.11_1.15_1_10_700_1000
0.36,0.987,4.9,1.99,1,7,1300,16000,lammps_0.987_0.36_4.90_1.99_1_7_1300_16000
0.37,0.987,0.67,2.37,1,15,1000,4000,lammps_0.987_0.37_0.67_2.37_1_15_1000_4000
0.3,0.987,5.06,2.89,4,7,800,33000,lammps_0.987_0.30_5.06_2.89_4_7_800_33000
0.65,0.988,7.64,2.0,2,5,400,98000,lammps_0.988_0.65_7.64_2.00_2_5_400_98000
0.58,0.988,2.35,3.3,1,13,600,134000,lammps_0.988_0.58_2.35_3.30_1_13_600_134000
0.55,0.988,6.99,1.58,1,10,1000,58000,lammps_0.988_0.55_6.99_1.58_1_10_1000_58000
0.5,0.988,2.91,3.02,4,2,400,9000,lammps_0.988_0.50_2.91_3.02_4_2_400_9000
0.53,0.988,4.44,1.16,2,8,500,18000,lammps_0.988_0.53_4.44_1.16_2_8_500_18000
0.52,0.988,0.93,2.2,2,15,1100,1000,lammps_0.988_0.52_0.93_2.20_2_15_1100_1000
0.67,0.988,7.62,3.21,3,5,400,199000,lammps_0.988_0.67_7.62_3.21_3_5_400_199000
0.54,0.988,2.9,1.93,1,12,700,0,lammps_0.988_0.54_2.90_1.93_1_12_700_0
0.7,0.988,3.76,0.07,2,5,800,85000,lammps_0.988_0.70_3.76_0.07_2_5_800_85000
0.86,0.988,3.42,2.65,1,7,1100,225000,lammps_0.988_0.86_3.42_2.65_1_7_1100_225000
0.72,0.988,3.09,2.39,4,5,600,12000,lammps_0.988_0.72_3.09_2.39_4_5_600_12000
0.75,0.988,4.4,0.46,4,7,900,1000,lammps_0.988_0.75_4.40_0.46_4_7_900_1000
0.76,0.988,2.81,2.15,3,7,500,18000,lammps_0.988_0.76_2.81_2.15_3_7_500_18000
0.79,0.988,3.07,2.07,3,4,700,277000,lammps_0.988_0.79_3.07_2.07_3_4_700_277000
0.81,0.988,2.83,0.71,2,4,700,29000,lammps_0.988_0.81_2.83_0.71_2_4_700_29000
0.83,0.988,5.29,3.21,3,2,800,1000,lammps_0.988_0.83_5.29_3.21_3_2_800_1000
0.85,0.988,3.29,2.58,4,6,300,1000,lammps_0.988_0.85_3.29_2.58_4_6_300_1000
0.46,0.988,0.88,2.27,1,12,800,20000,lammps_0.988_0.46_0.88_2.27_1_12_800_20000
0.94,0.988,4.16,0.07,4,2,900,107000,lammps_0.988_0.94_4.16_0.07_4_2_900_107000
0.71,0.988,4.43,0.91,2,7,1100,71000,lammps_0.988_0.71_4.43_0.91_2_7_1100_71000
0.44,0.988,1.0,1.94,4,2,700,1000,lammps_0.988_0.44_1.00_1.94_4_2_700_1000
0.48,0.988,7.71,0.01,2,14,1200,1000,lammps_0.988_0.48_7.71_0.01_2_14_1200_1000
0.42,0.988,1.51,1.7,2,6,500,26000,lammps_0.988_0.42_1.51_1.70_2_6_500_26000
0.43,0.988,0.82,1.54,1,7,500,6000,lammps_0.988_0.43_0.82_1.54_1_7_500_6000
0.0,0.988,4.48,0.65,3,2,1000,29000,lammps_0.988_0.00_4.48_0.65_3_2_1000_29000
0.06,0.988,5.36,1.93,4,2,800,61000,lammps_0.988_0.06_5.36_1.93_4_2_800_61000
0.07,0.988,1.52,2.55,2,7,700,45000,lammps_0.988_0.07_1.52_2.55_2_7_700_45000
0.17,0.988,1.72,0.8,2,3,400,1000,lammps_0.988_0.17_1.72_0.80_2_3_400_1000
0.18,0.988,3.88,0.25,4,7,700,2000,lammps_0.988_0.18_3.88_0.25_4_7_700_2000
0.22,0.988,5.05,2.69,4,4,500,168000,lammps_0.988_0.22_5.05_2.69_4_4_500_168000
0.23,0.988,5.36,1.0,3,5,500,81000,lammps_0.988_0.23_5.36_1.00_3_5_500_81000
0.25,0.988,5.44,2.79,3,2,600,1000,lammps_0.988_0.25_5.44_2.79_3_2_600_1000
0.3,0.988,6.21,2.66,3,5,500,22000,lammps_0.988_0.30_6.21_2.66_3_5_500_22000
0.19,0.988,6.85,0.71,2,4,700,88000,lammps_0.988_0.19_6.85_0.71_2_4_700_88000
0.33,0.988,3.56,0.11,2,3,500,50000,lammps_0.988_0.33_3.56_0.11_2_3_500_50000
0.34,0.988,1.63,1.61,2,14,500,3000,lammps_0.988_0.34_1.63_1.61_2_14_500_3000
0.35,0.988,1.27,1.75,1,10,300,28000,lammps_0.988_0.35_1.27_1.75_1_10_300_28000
0.37,0.988,1.72,3.58,3,5,600,164000,lammps_0.988_0.37_1.72_3.58_3_5_600_164000
0.38,0.988,4.48,3.28,1,8,900,2000,lammps_0.988_0.38_4.48_3.28_1_8_900_2000
0.39,0.988,1.47,0.42,1,9,700,82000,lammps_0.988_0.39_1.47_0.42_1_9_700_82000
0.4,0.988,7.61,3.39,2,10,800,4000,lammps_0.988_0.40_7.61_3.39_2_10_800_4000
0.41,0.988,7.78,2.88,2,8,300,257000,lammps_0.988_0.41_7.78_2.88_2_8_300_257000
0.32,0.988,0.25,0.76,2,7,600,32000,lammps_0.988_0.32_0.25_0.76_2_7_600_32000
0.73,0.989,0.6,2.94,3,5,1100,16000,lammps_0.989_0.73_0.60_2.94_3_5_1100_16000
0.72,0.989,0.81,0.07,3,6,500,19000,lammps_0.989_0.72_0.81_0.07_3_6_500_19000
0.71,0.989,4.89,0.53,3,7,600,247000,lammps_0.989_0.71_4.89_0.53_3_7_600_247000
0.7,0.989,0.73,0.04,2,5,1100,139000,lammps_0.989_0.70_0.73_0.04_2_5_1100_139000
0.97,0.989,1.53,3.1,4,5,700,57000,lammps_0.989_0.97_1.53_3.10_4_5_700_57000
0.58,0.989,4.7,2.74,3,2,1000,10000,lammps_0.989_0.58_4.70_2.74_3_2_1000_10000
0.57,0.989,7.3,0.15,3,5,300,85000,lammps_0.989_0.57_7.30_0.15_3_5_300_85000
0.75,0.989,0.72,1.21,4,1,900,1000,lammps_0.989_0.75_0.72_1.21_4_1_900_1000
0.65,0.989,0.79,3.12,4,5,300,30000,lammps_0.989_0.65_0.79_3.12_4_5_300_30000
0.78,0.989,0.91,1.87,4,5,600,1000,lammps_0.989_0.78_0.91_1.87_4_5_600_1000
0.96,0.989,2.59,0.83,3,4,900,20000,lammps_0.989_0.96_2.59_0.83_3_4_900_20000
0.8,0.989,7.97,2.99,2,5,1200,4000,lammps_0.989_0.80_7.97_2.99_2_5_1200_4000
0.81,0.989,4.53,1.96,2,4,300,2000,lammps_0.989_0.81_4.53_1.96_2_4_300_2000
0.82,0.989,4.19,2.81,1,14,800,4000,lammps_0.989_0.82_4.19_2.81_1_14_800_4000
0.83,0.989,4.16,1.88,3,2,400,23000,lammps_0.989_0.83_4.16_1.88_3_2_400_23000
0.86,0.989,7.36,2.4,4,7,1000,1000,lammps_0.989_0.86_7.36_2.40_4_7_1000_1000
0.89,0.989,4.27,2.33,3,3,400,257000,lammps_0.989_0.89_4.27_2.33_3_3_400_257000
0.92,0.989,0.39,2.01,2,3,800,2000,lammps_0.989_0.92_0.39_2.01_2_3_800_2000
0.93,0.989,4.71,2.36,4,5,800,3000,lammps_0.989_0.93_4.71_2.36_4_5_800_3000
0.53,0.989,5.56,1.64,2,15,1200,1000,lammps_0.989_0.53_5.56_1.64_2_15_1200_1000
0.79,0.989,7.12,1.09,3,4,400,80000,lammps_0.989_0.79_7.12_1.09_3_4_400_80000
0.52,0.989,8.05,0.05,2,13,300,2000,lammps_0.989_0.52_8.05_0.05_2_13_300_2000
0.56,0.989,0.02,0.1,1,8,600,2000,lammps_0.989_0.56_0.02_0.10_1_8_600_2000
0.46,0.989,4.24,2.68,2,6,500,35000,lammps_0.989_0.46_4.24_2.68_2_6_500_35000
0.0,0.989,3.16,0.94,3,2,600,17000,lammps_0.989_0.00_3.16_0.94_3_2_600_17000
0.02,0.989,2.61,0.53,4,6,1000,173000,lammps_0.989_0.02_2.61_0.53_4_6_1000_173000
0.03,0.989,0.14,2.63,3,6,1200,3000,lammps_0.989_0.03_0.14_2.63_3_6_1200_3000
0.04,0.989,7.42,1.86,2,6,800,72000,lammps_0.989_0.04_7.42_1.86_2_6_800_72000
0.07,0.989,2.0,2.4,2,7,300,11000,lammps_0.989_0.07_2.00_2.40_2_7_300_11000
0.08,0.989,3.99,0.56,3,6,700,174000,lammps_0.989_0.08_3.99_0.56_3_6_700_174000
0.17,0.989,1.87,1.72,3,7,400,13000,lammps_0.989_0.17_1.87_1.72_3_7_400_13000
0.19,0.989,4.79,3.05,2,4,300,8000,lammps_0.989_0.19_4.79_3.05_2_4_300_8000
0.2,0.989,0.96,2.37,1,5,600,2000,lammps_0.989_0.20_0.96_2.37_1_5_600_2000
0.21,0.989,1.15,0.14,1,7,500,281000,lammps_0.989_0.21_1.15_0.14_1_7_500_281000
0.5,0.989,2.18,1.94,2,2,800,5000,lammps_0.989_0.50_2.18_1.94_2_2_800_5000
0.3,0.989,2.77,2.08,4,7,400,61000,lammps_0.989_0.30_2.77_2.08_4_7_400_61000
0.31,0.989,7.16,3.16,2,4,300,3000,lammps_0.989_0.31_7.16_3.16_2_4_300_3000
0.33,0.989,3.83,2.06,1,9,300,5000,lammps_0.989_0.33_3.83_2.06_1_9_300_5000
0.34,0.989,7.81,3.4,2,8,300,107000,lammps_0.989_0.34_7.81_3.40_2_8_300_107000
0.35,0.989,3.53,0.53,2,13,500,21000,lammps_0.989_0.35_3.53_0.53_2_13_500_21000
0.38,0.989,6.03,2.63,4,2,800,37000,lammps_0.989_0.38_6.03_2.63_4_2_800_37000
0.39,0.989,0.16,2.84,1,14,800,10000,lammps_0.989_0.39_0.16_2.84_1_14_800_10000
0.41,0.989,5.13,0.63,1,11,400,7000,lammps_0.989_0.41_5.13_0.63_1_11_400_7000
0.42,0.989,1.63,1.61,1,12,300,15000,lammps_0.989_0.42_1.63_1.61_1_12_300_15000
0.43,0.989,7.24,0.33,2,7,400,47000,lammps_0.989_0.43_7.24_0.33_2_7_400_47000
0.25,0.989,0.25,1.0,4,1,400,129000,lammps_0.989_0.25_0.25_1.00_4_1_400_129000
0.56,0.99,7.82,3.45,2,8,600,11000,lammps_0.990_0.56_7.82_3.45_2_8_600_11000
0.55,0.99,0.71,1.4,1,10,900,10000,lammps_0.990_0.55_0.71_1.40_1_10_900_10000
0.53,0.99,4.42,2.33,1,15,1100,4000,lammps_0.990_0.53_4.42_2.33_1_15_1100_4000
0.46,0.99,2.57,0.38,1,12,1100,1000,lammps_0.990_0.46_2.57_0.38_1_12_1100_1000
0.5,0.99,3.3,1.08,1,8,900,66000,lammps_0.990_0.50_3.30_1.08_1_8_900_66000
0.48,0.99,7.06,0.12,2,12,300,2000,lammps_0.990_0.48_7.06_0.12_2_12_300_2000
0.47,0.99,5.43,1.64,2,10,300,10000,lammps_0.990_0.47_5.43_1.64_2_10_300_10000
0.58,0.99,7.54,3.02,3,2,900,27000,lammps_0.990_0.58_7.54_3.02_3_2_900_27000
0.52,0.99,4.04,2.05,2,15,1100,0,lammps_0.990_0.52_4.04_2.05_2_15_1100_0
0.59,0.99,4.96,3.06,4,4,1200,1000,lammps_0.990_0.59_4.96_3.06_4_4_1200_1000
0.8,0.99,5.6,0.53,3,5,1000,19000,lammps_0.990_0.80_5.60_0.53_3_5_1000_19000
0.75,0.99,0.73,0.64,4,1,900,6000,lammps_0.990_0.75_0.73_0.64_4_1_900_6000
0.78,0.99,2.67,0.98,4,4,400,30000,lammps_0.990_0.78_2.67_0.98_4_4_400_30000
0.79,0.99,1.19,1.59,4,3,1300,0,lammps_0.990_0.79_1.19_1.59_4_3_1300_0
0.81,0.99,0.64,2.89,4,2,900,122000,lammps_0.990_0.81_0.64_2.89_4_2_900_122000
0.83,0.99,3.0,3.12,2,6,800,1000,lammps_0.990_0.83_3.00_3.12_2_6_800_1000
0.85,0.99,4.36,1.95,4,5,300,0,lammps_0.990_0.85_4.36_1.95_4_5_300_0
0.88,0.99,1.48,1.79,3,4,300,3000,lammps_0.990_0.88_1.48_1.79_3_4_300_3000
0.93,0.99,7.76,1.82,2,7,700,67000,lammps_0.990_0.93_7.76_1.82_2_7_700_67000
0.45,0.99,5.17,2.91,2,14,400,2000,lammps_0.990_0.45_5.17_2.91_2_14_400_2000
0.6,0.99,0.21,0.1,1,5,400,147000,lammps_0.990_0.60_0.21_0.10_1_5_400_147000
0.97,0.99,2.0,1.33,3,6,1000,3000,lammps_0.990_0.97_2.00_1.33_3_6_1000_3000
0.41,0.99,4.12,1.62,2,14,1300,0,lammps_0.990_0.41_4.12_1.62_2_14_1300_0
0.4,0.99,1.7,3.12,2,5,300,17000,lammps_0.990_0.40_1.70_3.12_2_5_300_17000
0.42,0.99,6.84,0.0,2,13,300,10000,lammps_0.990_0.42_6.84_0.00_2_13_300_10000
0.0,0.99,0.21,0.24,1,2,700,48000,lammps_0.990_0.00_0.21_0.24_1_2_700_48000
0.06,0.99,7.29,0.64,4,4,800,69000,lammps_0.990_0.06_7.29_0.64_4_4_800_69000
0.07,0.99,2.99,0.58,3,5,800,37000,lammps_0.990_0.07_2.99_0.58_3_5_800_37000
0.12,0.99,6.28,0.46,4,6,400,103000,lammps_0.990_0.12_6.28_0.46_4_6_400_103000
0.17,0.99,2.88,0.43,1,6,700,1000,lammps_0.990_0.17_2.88_0.43_1_6_700_1000
0.2,0.99,6.61,1.9,2,5,800,101000,lammps_0.990_0.20_6.61_1.90_2_5_800_101000
0.21,0.99,0.27,1.68,1,7,700,191000,lammps_0.990_0.21_0.27_1.68_1_7_700_191000
