n,Egb
0.67,2.524
0.43,2.524
0.58,2.524
0.57,2.524
0.56,2.524
0.5,2.524
0.45,2.524
0.44,2.524
0.6,2.524
0.4,2.524
0.35,2.524
0.38,2.524
0.19,2.524
0.2,2.524
0.22,2.524
0.14,2.524
0.29,2.524
0.3,2.524
0.33,2.524
0.25,2.524
0.5,2.525
0.67,2.525
0.63,2.525
0.6,2.525
0.58,2.525
0.57,2.525
0.56,2.525
0.44,2.525
0.55,2.525
0.42,2.525
0.43,2.525
0.4,2.525
0.38,2.525
0.19,2.525
0.1,2.525
0.03,2.525
0.0,2.525
0.7,2.526
0.67,2.526
0.63,2.526
0.62,2.526
0.56,2.526
0.55,2.526
0.54,2.526
0.5,2.526
0.72,2.526
0.44,2.526
0.25,2.526
0.27,2.526
0.28,2.526
0.48,2.526
0.34,2.526
0.38,2.526
0.4,2.526
0.33,2.526
0.42,2.527
0.67,2.527
0.58,2.527
0.57,2.527
0.56,2.527
0.5,2.527
0.44,2.527
0.43,2.527
0.71,2.527
0.4,2.527
0.3,2.527
0.28,2.527
0.25,2.527
0.16,2.527
0.15,2.527
0.11,2.527
0.03,2.527
0.33,2.527
0.46,2.528
0.62,2.528
0.64,2.528
0.6,2.528
0.58,2.528
0.56,2.528
0.5,2.528
0.44,2.528
0.1,2.528
0.33,2.528
0.05,2.528
0.14,2.528
0.4,2.528
0.17,2.528
0.29,2.528
0.15,2.528
0.7,2.529
0.68,2.529
0.44,2.529
0.64,2.529
0.63,2.529
0.6,2.529
0.59,2.529
0.57,2.529
0.5,2.529
0.67,2.529
0.42,2.529
0.33,2.529
0.4,2.529
0.1,2.529
0.15,2.529
0.16,2.529
0.06,2.529
0.25,2.529
0.27,2.529
0.28,2.529
0.31,2.529
0.22,2.529
0.43,2.53
0.68,2.53
0.64,2.53
0.6,2.53
0.5,2.53
0.45,2.53
0.7,2.53
0.44,2.53
0.4,2.53
0.28,2.53
0.33,2.53
0.3,2.53
0.27,2.53
0.25,2.53
0.24,2.53
0.2,2.53
0.19,2.53
0.35,2.53
0.7,2.531
0.69,2.531
0.67,2.531
0.62,2.531
0.6,2.531
0.58,2.531
0.57,2.531
0.5,2.531
0.45,2.531
0.4,2.531
0.39,2.531
0.33,2.531
0.29,2.531
0.25,2.531
0.22,2.531
0.17,2.531
0.06,2.531
0.44,2.531
0.44,2.532
0.5,2.532
0.56,2.532
0.57,2.532
0.7,2.532
0.6,2.532
0.67,2.532
0.68,2.532
0.58,2.532
0.43,2.532
0.47,2.532
0.4,2.532
0.17,2.532
0.2,2.532
0.31,2.532
0.33,2.532
0.0,2.532
0.38,2.532
0.39,2.532
0.35,2.532
0.42,2.532
0.72,2.533
0.5,2.533
0.71,2.533
0.7,2.533
0.67,2.533
0.62,2.533
0.6,2.533
0.58,2.533
0.56,2.533
0.44,2.533
0.4,2.533
0.35,2.533
0.33,2.533
0.25,2.533
0.2,2.533
0.17,2.533
0.14,2.533
0.12,2.533
0.0,2.533
0.43,2.533
0.45,2.534
0.49,2.534
0.5,2.534
0.52,2.534
0.7,2.534
0.71,2.534
0.58,2.534
0.67,2.534
0.44,2.534
0.56,2.534
0.42,2.534
0.57,2.534
0.38,2.534
0.04,2.534
0.05,2.534
0.06,2.534
0.17,2.534
0.4,2.534
0.25,2.534
0.28,2.534
0.29,2.534
0.31,2.534
0.21,2.534
0.49,2.535
0.73,2.535
0.72,2.535
0.67,2.535
0.62,2.535
0.6,2.535
0.57,2.535
0.56,2.535
0.5,2.535
0.4,2.535
0.37,2.535
0.03,2.535
0.33,2.535
0.3,2.535
0.28,2.535
0.2,2.535
0.17,2.535
0.15,2.535
0.11,2.535
0.38,2.535
0.47,2.536
0.5,2.536
0.73,2.536
0.44,2.536
0.61,2.536
0.67,2.536
0.7,2.536
0.57,2.536
0.42,2.536
0.56,2.536
0.38,2.536
0.33,2.536
0.23,2.536
0.21,2.536
0.17,2.536
0.13,2.536
0.1,2.536
0.08,2.536
0.0,2.536
0.39,2.536
0.47,2.537
0.5,2.537
0.54,2.537
0.56,2.537
0.58,2.537
0.67,2.537
0.64,2.537
0.65,2.537
0.66,2.537
0.7,2.537
0.71,2.537
0.6,2.537
0.45,2.537
0.46,2.537
0.43,2.537
0.44,2.537
0.06,2.537
0.08,2.537
0.13,2.537
0.25,2.537
0.29,2.537
0.22,2.537
0.33,2.537
0.38,2.537
0.4,2.537
0.41,2.537
0.42,2.537
0.3,2.537
0.5,2.538
0.44,2.538
0.46,2.538
0.47,2.538
0.56,2.538
0.43,2.538
0.58,2.538
0.6,2.538
0.62,2.538
0.68,2.538
0.7,2.538
0.57,2.538
0.42,2.538
0.69,2.538
0.39,2.538
0.06,2.538
0.1,2.538
0.13,2.538
0.2,2.538
0.22,2.538
0.25,2.538
0.4,2.538
0.3,2.538
0.33,2.538
0.34,2.538
0.36,2.538
0.38,2.538
0.28,2.538
0.47,2.539
0.5,2.539
0.52,2.539
0.57,2.539
0.58,2.539
0.63,2.539
0.62,2.539
0.67,2.539
0.68,2.539
0.44,2.539
0.6,2.539
0.43,2.539
0.39,2.539
0.1,2.539
0.38,2.539
0.33,2.539
0.31,2.539
0.3,2.539
0.25,2.539
0.22,2.539
0.17,2.539
0.14,2.539
0.13,2.539
0.4,2.539
0.44,2.54
0.45,2.54
0.46,2.54
0.5,2.54
0.4,2.54
0.62,2.54
0.65,2.54
0.67,2.54
0.69,2.54
0.57,2.54
0.38,2.54
0.39,2.54
0.31,2.54
0.04,2.54
0.06,2.54
0.09,2.54
0.1,2.54
0.15,2.54
0.35,2.54
0.2,2.54
0.21,2.54
0.25,2.54
0.3,2.54
0.19,2.54
0.44,2.541
0.46,2.541
0.47,2.541
0.48,2.541
0.5,2.541
0.55,2.541
0.58,2.541
0.6,2.541
0.62,2.541
0.68,2.541
0.4,2.541
0.75,2.541
0.57,2.541
0.7,2.541
0.38,2.541
0.33,2.541
0.34,2.541
0.0,2.541
0.04,2.541
0.05,2.541
0.12,2.541
0.19,2.541
0.07,2.541
0.25,2.541
0.27,2.541
0.28,2.541
0.3,2.541
0.31,2.541
0.22,2.541
0.47,2.542
0.42,2.542
0.43,2.542
0.44,2.542
0.5,2.542
0.4,2.542
0.58,2.542
0.6,2.542
0.62,2.542
0.67,2.542
0.71,2.542
0.55,2.542
0.38,2.542
0.12,2.542
0.33,2.542
0.0,2.542
0.07,2.542
0.08,2.542
0.37,2.542
0.19,2.542
0.1,2.542
0.25,2.542
0.29,2.542
0.31,2.542
0.32,2.542
0.2,2.542
0.6,2.543
0.47,2.543
0.48,2.543
0.5,2.543
0.57,2.543
0.62,2.543
0.75,2.543
0.67,2.543
0.69,2.543
0.7,2.543
0.72,2.543
0.45,2.543
0.66,2.543
0.43,2.543
0.44,2.543
0.39,2.543
0.4,2.543
0.03,2.543
0.07,2.543
0.2,2.543
0.22,2.543
0.23,2.543
0.25,2.543
0.0,2.543
0.29,2.543
0.3,2.543
0.33,2.543
0.36,2.543
0.38,2.543
0.28,2.543
0.46,2.544
0.47,2.544
0.48,2.544
0.5,2.544
0.53,2.544
0.55,2.544
0.61,2.544
0.57,2.544
0.64,2.544
0.65,2.544
0.73,2.544
0.67,2.544
0.45,2.544
0.56,2.544
0.44,2.544
0.05,2.544
0.39,2.544
0.4,2.544
0.0,2.544
0.09,2.544
0.1,2.544
0.21,2.544
0.22,2.544
0.2,2.544
0.24,2.544
0.25,2.544
0.33,2.544
0.36,2.544
0.37,2.544
0.38,2.544
0.23,2.544
0.56,2.545
0.45,2.545
0.5,2.545
0.53,2.545
0.54,2.545
0.57,2.545
0.44,2.545
0.6,2.545
0.64,2.545
0.67,2.545
0.7,2.545
0.71,2.545
0.58,2.545
0.43,2.545
0.14,2.545
0.4,2.545
0.0,2.545
0.1,2.545
0.12,2.545
0.42,2.545
0.2,2.545
0.22,2.545
0.06,2.545
0.26,2.545
0.27,2.545
0.33,2.545
0.34,2.545
0.38,2.545
0.25,2.545
0.53,2.546
0.54,2.546
0.56,2.546
0.57,2.546
0.62,2.546
0.6,2.546
0.67,2.546
0.72,2.546
0.5,2.546
0.58,2.546
0.47,2.546
