n,Egb
0.7,2.572
0.67,2.572
0.69,2.572
0.75,2.572
0.8,2.572
0.44,2.572
0.65,2.572
0.43,2.572
0.78,2.572
0.39,2.572
0.0,2.572
0.4,2.572
0.06,2.572
0.11,2.572
0.19,2.572
0.2,2.572
0.1,2.572
0.23,2.572
0.25,2.572
0.29,2.572
0.3,2.572
0.33,2.572
0.38,2.572
0.21,2.572
0.57,2.573
0.42,2.573
0.45,2.573
0.46,2.573
0.5,2.573
0.53,2.573
0.54,2.573
0.58,2.573
0.75,2.573
0.6,2.573
0.62,2.573
0.67,2.573
0.7,2.573
0.71,2.573
0.4,2.573
0.78,2.573
0.59,2.573
0.39,2.573
0.85,2.573
0.36,2.573
0.02,2.573
0.06,2.573
0.1,2.573
0.12,2.573
0.15,2.573
0.16,2.573
0.17,2.573
0.19,2.573
0.0,2.573
0.23,2.573
0.22,2.573
0.34,2.573
0.33,2.573
0.38,2.573
0.29,2.573
0.27,2.573
0.25,2.573
0.32,2.573
0.43,2.574
0.45,2.574
0.5,2.574
0.53,2.574
0.54,2.574
0.6,2.574
0.61,2.574
0.66,2.574
0.67,2.574
0.68,2.574
0.73,2.574
0.75,2.574
0.78,2.574
0.83,2.574
0.42,2.574
0.62,2.574
0.7,2.574
0.4,2.574
0.33,2.574
0.39,2.574
0.0,2.574
0.04,2.574
0.05,2.574
0.07,2.574
0.11,2.574
0.13,2.574
0.06,2.574
0.23,2.574
0.25,2.574
0.27,2.574
0.29,2.574
0.3,2.574
0.32,2.574
0.17,2.574
0.51,2.575
0.38,2.575
0.4,2.575
0.41,2.575
0.42,2.575
0.47,2.575
0.5,2.575
0.58,2.575
0.86,2.575
0.62,2.575
0.67,2.575
0.7,2.575
0.75,2.575
0.76,2.575
0.83,2.575
0.33,2.575
0.6,2.575
0.31,2.575
0.05,2.575
0.29,2.575
0.03,2.575
0.04,2.575
0.1,2.575
0.11,2.575
0.12,2.575
0.14,2.575
0.17,2.575
0.3,2.575
0.2,2.575
0.21,2.575
0.22,2.575
0.23,2.575
0.25,2.575
0.27,2.575
0.28,2.575
0.19,2.575
0.43,2.576
0.46,2.576
0.5,2.576
0.59,2.576
0.6,2.576
0.62,2.576
0.65,2.576
0.67,2.576
0.72,2.576
0.7,2.576
0.71,2.576
0.73,2.576
0.75,2.576
0.78,2.576
0.42,2.576
0.8,2.576
0.69,2.576
0.79,2.576
0.4,2.576
0.38,2.576
0.39,2.576
0.0,2.576
0.03,2.576
0.05,2.576
0.07,2.576
0.1,2.576
0.14,2.576
0.17,2.576
0.09,2.576
0.2,2.576
0.19,2.576
0.31,2.576
0.3,2.576
0.27,2.576
0.33,2.576
0.25,2.576
0.21,2.576
0.26,2.576
0.54,2.577
0.46,2.577
0.47,2.577
0.5,2.577
0.85,2.577
0.52,2.577
0.53,2.577
0.55,2.577
0.42,2.577
0.57,2.577
0.62,2.577
0.64,2.577
0.67,2.577
0.68,2.577
0.7,2.577
0.73,2.577
0.78,2.577
0.56,2.577
0.4,2.577
0.51,2.577
0.37,2.577
0.39,2.577
0.0,2.577
0.04,2.577
0.06,2.577
0.07,2.577
0.09,2.577
0.1,2.577
0.13,2.577
0.08,2.577
0.24,2.577
0.17,2.577
0.33,2.577
0.31,2.577
0.3,2.577
0.36,2.577
0.27,2.577
0.25,2.577
0.29,2.577
0.67,2.578
0.44,2.578
0.48,2.578
0.5,2.578
0.53,2.578
0.6,2.578
0.62,2.578
0.63,2.578
0.68,2.578
0.83,2.578
0.7,2.578
0.71,2.578
0.72,2.578
0.73,2.578
0.75,2.578
0.78,2.578
0.79,2.578
0.8,2.578
0.43,2.578
0.69,2.578
0.42,2.578
0.39,2.578
0.1,2.578
0.0,2.578
0.03,2.578
0.4,2.578
0.11,2.578
0.12,2.578
0.14,2.578
0.16,2.578
0.2,2.578
0.22,2.578
0.17,2.578
0.24,2.578
0.38,2.578
0.23,2.578
0.33,2.578
0.31,2.578
0.37,2.578
0.29,2.578
0.28,2.578
0.25,2.578
0.3,2.578
0.47,2.579
0.37,2.579
0.38,2.579
0.4,2.579
0.42,2.579
0.44,2.579
0.48,2.579
0.36,2.579
0.53,2.579
0.56,2.579
0.64,2.579
0.67,2.579
0.7,2.579
0.8,2.579
0.75,2.579
0.5,2.579
0.35,2.579
0.72,2.579
0.32,2.579
0.33,2.579
0.0,2.579
0.02,2.579
0.05,2.579
0.1,2.579
0.12,2.579
0.13,2.579
0.14,2.579
0.07,2.579
0.19,2.579
0.2,2.579
0.25,2.579
0.27,2.579
0.28,2.579
0.29,2.579
0.17,2.579
0.3,2.579
0.47,2.58
0.46,2.58
0.44,2.58
0.39,2.58
0.4,2.58
0.38,2.58
0.53,2.58
0.42,2.58
0.55,2.58
0.73,2.58
0.57,2.58
0.6,2.58
0.63,2.58
0.66,2.58
0.68,2.58
0.7,2.58
0.37,2.58
0.79,2.58
0.82,2.58
0.56,2.58
0.36,2.58
0.67,2.58
0.32,2.58
0.0,2.58
0.03,2.58
0.05,2.58
0.06,2.58
0.07,2.58
0.08,2.58
0.1,2.58
0.12,2.58
0.15,2.58
0.04,2.58
0.17,2.58
0.16,2.58
0.31,2.58
0.3,2.58
0.29,2.58
0.33,2.58
0.25,2.58
0.22,2.58
0.2,2.58
0.28,2.58
0.46,2.581
0.53,2.581
0.56,2.581
0.57,2.581
0.58,2.581
0.6,2.581
0.61,2.581
0.66,2.581
0.67,2.581
0.69,2.581
0.72,2.581
0.75,2.581
0.8,2.581
0.65,2.581
0.71,2.581
0.35,2.581
0.34,2.581
0.37,2.581
0.0,2.581
0.07,2.581
0.09,2.581
0.1,2.581
0.12,2.581
0.08,2.581
0.17,2.581
0.22,2.581
0.25,2.581
0.27,2.581
0.29,2.581
0.33,2.581
0.14,2.581
0.55,2.582
0.43,2.582
0.83,2.582
0.48,2.582
0.49,2.582
0.5,2.582
0.52,2.582
0.56,2.582
0.79,2.582
0.67,2.582
0.7,2.582
0.73,2.582
0.75,2.582
0.76,2.582
0.78,2.582
0.8,2.582
0.42,2.582
0.6,2.582
0.4,2.582
0.3,2.582
0.34,2.582
0.0,2.582
0.05,2.582
0.06,2.582
0.07,2.582
0.11,2.582
0.12,2.582
0.15,2.582
0.16,2.582
0.38,2.582
0.24,2.582
0.25,2.582
0.26,2.582
0.27,2.582
0.28,2.582
0.29,2.582
0.32,2.582
0.33,2.582
0.2,2.582
0.56,2.583
0.54,2.583
0.45,2.583
0.5,2.583
0.47,2.583
0.57,2.583
0.53,2.583
0.61,2.583
0.72,2.583
0.67,2.583
0.7,2.583
0.71,2.583
0.75,2.583
0.79,2.583
0.8,2.583
0.92,2.583
0.44,2.583
0.65,2.583
0.43,2.583
0.4,2.583
0.0,2.583
0.42,2.583
0.04,2.583
0.1,2.583
0.11,2.583
0.15,2.583
0.17,2.583
0.19,2.583
0.2,2.583
0.16,2.583
0.22,2.583
0.21,2.583
0.36,2.583
0.33,2.583
0.3,2.583
0.38,2.583
0.28,2.583
0.23,2.583
0.29,2.583
0.6,2.584
0.44,2.584
0.45,2.584
0.54,2.584
0.55,2.584
0.56,2.584
0.58,2.584
0.62,2.584
0.43,2.584
0.68,2.584
0.7,2.584
0.72,2.584
0.75,2.584
0.78,2.584
0.8,2.584
0.83,2.584
0.66,2.584
0.4,2.584
0.42,2.584
0.38,2.584
0.0,2.584
0.04,2.584
0.06,2.584
0.07,2.584
0.08,2.584
0.1,2.584
0.12,2.584
0.13,2.584
0.14,2.584
0.39,2.584
0.2,2.584
0.21,2.584
0.22,2.584
0.24,2.584
0.25,2.584
0.3,2.584
0.33,2.584
0.17,2.584
0.61,2.585
0.6,2.585
0.58,2.585
0.53,2.585
0.55,2.585
0.62,2.585
0.5,2.585
0.56,2.585
0.67,2.585
0.73,2.585
0.71,2.585
0.72,2.585
0.75,2.585
0.78,2.585
0.79,2.585
0.81,2.585
0.47,2.585
0.88,2.585
0.69,2.585
0.84,2.585
0.44,2.585
0.4,2.585
0.42,2.585
0.0,2.585
0.06,2.585
0.08,2.585
0.09,2.585
0.15,2.585
0.17,2.585
0.19,2.585
0.2,2.585
0.11,2.585
0.25,2.585
0.22,2.585
0.38,2.585
0.35,2.585
0.33,2.585
0.39,2.585
0.3,2.585
0.29,2.585
0.31,2.585
0.62,2.586
0.42,2.586
0.44,2.586
0.45,2.586
0.5,2.586
0.55,2.586
0.56,2.586
0.57,2.586
0.64,2.586
0.4,2.586
0.66,2.586
0.69,2.586
0.7,2.586
0.71,2.586
0.73,2.586
0.75,2.586
0.78,2.586
0.82,2.586
0.65,2.586
0.38,2.586
0.77,2.586
0.35,2.586
0.03,2.586
0.37,2.586
0.07,2.586
0.12,2.586
0.13,2.586
0.14,2.586
0.15,2.586
0.17,2.586
0.19,2.586
0.0,2.586
0.22,2.586
0.23,2.586
0.25,2.586
0.27,2.586
0.29,2.586
0.3,2.586
0.31,2.586
0.33,2.586
0.2,2.586
0.54,2.587
0.5,2.587
0.47,2.587
0.4,2.587
0.43,2.587
0.42,2.587
0.56,2.587
0.44,2.587
0.57,2.587
0.67,2.587
0.6,2.587
0.62,2.587
0.69,2.587
0.71,2.587
0.75,2.587
0.8,2.587
0.9,2.587
0.38,2.587
0.58,2.587
0.36,2.587
0.33,2.587
0.0,2.587
0.35,2.587
0.03,2.587
0.06,2.587
0.09,2.587
0.1,2.587
0.12,2.587
0.13,2.587
0.17,2.587
0.11,2.587
0.21,2.587
0.2,2.587
0.3,2.587
0.29,2.587
0.26,2.587
0.32,2.587
0.23,2.587
0.22,2.587
0.25,2.587
0.5,2.588
0.33,2.588
0.36,2.588
0.37,2.588
0.4,2.588
0.42,2.588
0.44,2.588
0.51,2.588
0.29,2.588
0.58,2.588
0.59,2.588
0.6,2.588
0.62,2.588
0.67,2.588
0.69,2.588
0.8,2.588
0.55,2.588
0.28,2.588
0.73,2.588
0.26,2.588
0.27,2.588
0.02,2.588
0.03,2.588
0.06,2.588
0.07,2.588
0.08,2.588
0.1,2.588
0.11,2.588
0.0,2.588
0.13,2.588
0.14,2.588
0.17,2.588
0.19,2.588
0.2,2.588
0.23,2.588
0.24,2.588
0.25,2.588
0.12,2.588
0.43,2.589
0.46,2.589
0.5,2.589
0.52,2.589
0.53,2.589
0.56,2.589
0.57,2.589
0.75,2.589
0.67,2.589
0.7,2.589
0.79,2.589
0.81,2.589
0.89,2.589
0.42,2.589
0.6,2.589
0.41,2.589
0.4,2.589
0.2,2.589
0.39,2.589
0.0,2.589
0.07,2.589
0.17,2.589
0.21,2.589
0.22,2.589
0.25,2.589
0.23,2.589
0.29,2.589
0.3,2.589
0.31,2.589
0.32,2.589
0.33,2.589
0.36,2.589
0.38,2.589
0.28,2.589
0.57,2.59
0.6,2.59
0.58,2.59
0.56,2.59
0.44,2.59
0.47,2.59
0.46,2.59
0.61,2.59
0.5,2.59
0.62,2.59
0.81,2.59
0.64,2.59
0.69,2.59
0.73,2.59
0.75,2.59
0.84,2.59
0.78,2.59
0.8,2.59
0.83,2.59
0.63,2.59
0.4,2.59
0.08,2.59
0.38,2.59
0.39,2.59
0.03,2.59
0.04,2.59
0.05,2.59
0.06,2.59
0.12,2.59
0.15,2.59
0.17,2.59
0.18,2.59
0.11,2.59
0.22,2.59
0.2,2.59
0.35,2.59
0.33,2.59
0.31,2.59
0.36,2.59
0.27,2.59
0.25,2.59
0.3,2.59
0.6,2.591
0.94,2.591
0.5,2.591
0.51,2.591
0.53,2.591
0.54,2.591
0.57,2.591
0.58,2.591
0.62,2.591
0.45,2.591
0.64,2.591
0.67,2.591
0.69,2.591
0.7,2.591
0.71,2.591
0.75,2.591
0.78,2.591
0.88,2.591
0.63,2.591
0.44,2.591
0.46,2.591
0.41,2.591
0.42,2.591
0.0,2.591
0.05,2.591
0.07,2.591
0.08,2.591
0.12,2.591
0.13,2.591
0.17,2.591
0.2,2.591
0.11,2.591
0.25,2.591
0.26,2.591
0.29,2.591
0.3,2.591
0.33,2.591
0.36,2.591
0.38,2.591
0.4,2.591
0.22,2.591
0.58,2.592
0.57,2.592
0.52,2.592
0.51,2.592
0.43,2.592
0.47,2.592
0.44,2.592
0.6,2.592
0.5,2.592
0.62,2.592
0.86,2.592
0.68,2.592
0.69,2.592
0.7,2.592
0.71,2.592
0.72,2.592
0.75,2.592
0.78,2.592
0.8,2.592
0.42,2.592
0.67,2.592
0.39,2.592
0.4,2.592
0.11,2.592
0.38,2.592
0.0,2.592
0.03,2.592
0.04,2.592
0.06,2.592
0.1,2.592
0.12,2.592
0.13,2.592
0.17,2.592
0.2,2.592
0.18,2.592
0.25,2.592
0.27,2.592
0.28,2.592
0.29,2.592
0.3,2.592
0.31,2.592
0.33,2.592
0.35,2.592
0.36,2.592
0.22,2.592
0.55,2.593
0.58,2.593
0.57,2.593
0.54,2.593
0.44,2.593
0.5,2.593
0.49,2.593
0.45,2.593
0.6,2.593
0.53,2.593
0.61,2.593
0.9,2.593
0.63,2.593
0.66,2.593
0.67,2.593
0.7,2.593
0.72,2.593
0.73,2.593
0.75,2.593
0.76,2.593
0.78,2.593
0.62,2.593
0.43,2.593
0.27,2.593
0.4,2.593
0.42,2.593
0.0,2.593
0.05,2.593
0.06,2.593
0.1,2.593
0.12,2.593
0.13,2.593
0.14,2.593
0.16,2.593
0.17,2.593
0.07,2.593
0.21,2.593
0.22,2.593
0.25,2.593
0.38,2.593
0.3,2.593
0.32,2.593
0.33,2.593
0.35,2.593
0.36,2.593
0.2,2.593
0.38,2.594
0.39,2.594
0.4,2.594
0.5,2.594
0.56,2.594
0.6,2.594
0.75,2.594
0.67,2.594
0.7,2.594
0.78,2.594
0.83,2.594
0.37,2.594
0.88,2.594
0.66,2.594
0.35,2.594
0.3,2.594
0.31,2.594
0.33,2.594
0.0,2.594
0.05,2.594
0.1,2.594
0.12,2.594
0.14,2.594
0.08,2.594
0.17,2.594
0.22,2.594
0.24,2.594
0.25,2.594
0.29,2.594
0.15,2.594
0.5,2.595
0.31,2.595
0.33,2.595
0.38,2.595
0.4,2.595
0.44,2.595
0.47,2.595
0.54,2.595
0.8,2.595
0.61,2.595
0.64,2.595
0.66,2.595
0.67,2.595
0.7,2.595
0.83,2.595
0.3,2.595
0.58,2.595
0.29,2.595
0.89,2.595
0.25,2.595
0.28,2.595
0.0,2.595
0.06,2.595
0.07,2.595
0.1,2.595
0.11,2.595
0.12,2.595
0.13,2.595
0.08,2.595
0.16,2.595
0.17,2.595
0.19,2.595
0.2,2.595
0.22,2.595
0.23,2.595
0.24,2.595
0.15,2.595
0.67,2.596
0.64,2.596
0.62,2.596
0.6,2.596
0.53,2.596
0.58,2.596
0.56,2.596
0.7,2.596
0.59,2.596
0.71,2.596
0.89,2.596
0.75,2.596
0.77,2.596
0.78,2.596
0.81,2.596
0.83,2.596
0.85,2.596
0.87,2.596
0.5,2.596
0.9,2.596
0.73,2.596
0.48,2.596
0.47,2.596
0.46,2.596
0.1,2.596
0.11,2.596
0.14,2.596
0.15,2.596
0.19,2.596
0.2,2.596
0.22,2.596
0.23,2.596
0.25,2.596
0.12,2.596
0.28,2.596
0.26,2.596
0.44,2.596
0.38,2.596
0.37,2.596
0.4,2.596
0.31,2.596
0.3,2.596
0.29,2.596
0.33,2.596
0.44,2.597
0.58,2.597
0.47,2.597
0.5,2.597
0.53,2.597
0.57,2.597
0.6,2.597
0.8,2.597
0.7,2.597
0.74,2.597
0.78,2.597
0.82,2.597
0.83,2.597
0.84,2.597
0.42,2.597
0.67,2.597
0.4,2.597
0.92,2.597
0.38,2.597
0.39,2.597
0.0,2.597
0.07,2.597
0.1,2.597
0.12,2.597
0.17,2.597
0.18,2.597
0.19,2.597
0.05,2.597
0.22,2.597
0.25,2.597
0.26,2.597
0.3,2.597
0.31,2.597
0.32,2.597
0.33,2.597
0.2,2.597
0.4,2.598
0.46,2.598
0.5,2.598
0.58,2.598
0.62,2.598
0.65,2.598
0.78,2.598
0.72,2.598
0.75,2.598
0.83,2.598
0.85,2.598
0.38,2.598
0.67,2.598
0.33,2.598
0.37,2.598
0.3,2.598
0.31,2.598
0.0,2.598
0.03,2.598
0.1,2.598
0.12,2.598
0.14,2.598
0.17,2.598
0.07,2.598
0.2,2.598
0.25,2.598
0.26,2.598
0.27,2.598
0.29,2.598
0.19,2.598
0.66,2.599
0.47,2.599
0.5,2.599
0.52,2.599
0.44,2.599
0.56,2.599
0.6,2.599
0.62,2.599
0.65,2.599
0.67,2.599
0.78,2.599
0.68,2.599
0.69,2.599
0.71,2.599
0.72,2.599
0.75,2.599
0.79,2.599
0.8,2.599
0.81,2.599
0.43,2.599
0.83,2.599
0.42,2.599
0.12,2.599
0.36,2.599
0.4,2.599
0.0,2.599
0.03,2.599
0.05,2.599
0.06,2.599
0.08,2.599
0.09,2.599
0.1,2.599
0.11,2.599
0.07,2.599
0.17,2.599
0.19,2.599
0.2,2.599
0.21,2.599
0.25,2.599
0.27,2.599
0.28,2.599
0.3,2.599
0.16,2.599
0.33,2.599
0.6,2.6
0.58,2.6
0.57,2.6
0.53,2.6
0.47,2.6
0.51,2.6
0.5,2.6
0.46,2.6
0.62,2.6
0.52,2.6
0.67,2.6
0.9,2.6
0.7,2.6
0.71,2.6
0.79,2.6
0.8,2.6
0.81,2.6
0.83,2.6
0.84,2.6
0.86,2.6
0.96,2.6
0.44,2.6
0.69,2.6
0.43,2.6
0.78,2.6
0.38,2.6
0.0,2.6
0.04,2.6
0.05,2.6
0.08,2.6
0.11,2.6
0.12,2.6
0.13,2.6
0.42,2.6
0.17,2.6
0.19,2.6
0.2,2.6
0.1,2.6
0.22,2.6
0.21,2.6
0.37,2.6
0.35,2.6
0.31,2.6
0.3,2.6
0.33,2.6
0.28,2.6
0.26,2.6
0.25,2.6
0.23,2.6
0.29,2.6
0.52,2.601
0.67,2.601
0.58,2.601
0.59,2.601
0.6,2.601
0.61,2.601
0.7,2.601
0.83,2.601
0.75,2.601
0.78,2.601
0.8,2.601
0.82,2.601
0.92,2.601
0.5,2.601
0.73,2.601
0.47,2.601
0.36,2.601
0.38,2.601
0.44,2.601
0.0,2.601
0.04,2.601
0.05,2.601
0.11,2.601
0.12,2.601
0.14,2.601
0.1,2.601
0.22,2.601
0.25,2.601
0.27,2.601
0.29,2.601
0.3,2.601
0.37,2.601
0.17,2.601
0.65,2.602
0.47,2.602
0.5,2.602
0.56,2.602
0.58,2.602
0.6,2.602
0.61,2.602
0.62,2.602
0.67,2.602
0.86,2.602
0.7,2.602
0.75,2.602
0.76,2.602
0.77,2.602
0.8,2.602
0.85,2.602
0.89,2.602
0.44,2.602
0.69,2.602
0.43,2.602
0.83,2.602
0.35,2.602
0.0,2.602
0.07,2.602
0.4,2.602
0.1,2.602
0.11,2.602
0.12,2.602
0.13,2.602
0.14,2.602
0.15,2.602
0.05,2.602
0.21,2.602
0.22,2.602
0.23,2.602
0.24,2.602
0.25,2.602
0.3,2.602
0.33,2.602
0.34,2.602
0.2,2.602
0.4,2.603
0.42,2.603
0.43,2.603
0.47,2.603
0.5,2.603
0.53,2.603
0.6,2.603
0.81,2.603
0.67,2.603
0.69,2.603
0.75,2.603
0.83,2.603
0.84,2.603
0.86,2.603
0.39,2.603
0.62,2.603
0.38,2.603
0.93,2.603
0.33,2.603
0.0,2.603
0.07,2.603
0.08,2.603
0.11,2.603
0.12,2.603
0.13,2.603
0.16,2.603
0.17,2.603
0.35,2.603
0.2,2.603
0.22,2.603
0.23,2.603
0.25,2.603
0.3,2.603
0.31,2.603
0.32,2.603
0.19,2.603
0.5,2.604
0.53,2.604
0.55,2.604
0.56,2.604
0.59,2.604
0.6,2.604
0.62,2.604
0.7,2.604
0.64,2.604
0.67,2.604
0.71,2.604
0.75,2.604
0.8,2.604
0.83,2.604
0.43,2.604
0.63,2.604
0.85,2.604
0.35,2.604
0.31,2.604
0.33,2.604
0.0,2.604
0.03,2.604
0.06,2.604
0.1,2.604
0.12,2.604
0.13,2.604
0.17,2.604
0.07,2.604
0.2,2.604
0.19,2.604
0.29,2.604
0.26,2.604
0.3,2.604
0.22,2.604
0.21,2.604
0.25,2.604
0.62,2.605
0.47,2.605
0.5,2.605
0.53,2.605
0.56,2.605
0.58,2.605
0.6,2.605
0.61,2.605
0.67,2.605
0.88,2.605
0.7,2.605
0.71,2.605
0.72,2.605
0.73,2.605
0.75,2.605
0.78,2.605
0.8,2.605
0.46,2.605
0.68,2.605
0.42,2.605
0.15,2.605
0.38,2.605
0.0,2.605
0.04,2.605
0.08,2.605
0.09,2.605
0.1,2.605
0.13,2.605
0.14,2.605
0.39,2.605
0.17,2.605
0.12,2.605
0.19,2.605
0.2,2.605
0.22,2.605
0.23,2.605
0.25,2.605
0.3,2.605
0.33,2.605
0.34,2.605
0.18,2.605
0.64,2.606
0.63,2.606
0.62,2.606
0.61,2.606
0.53,2.606
0.56,2.606
0.54,2.606
0.65,2.606
0.6,2.606
0.67,2.606
0.86,2.606
0.7,2.606
0.72,2.606
0.73,2.606
0.75,2.606
0.77,2.606
0.78,2.606
0.82,2.606
0.83,2.606
0.5,2.606
0.68,2.606
0.48,2.606
0.49,2.606
0.1,2.606
0.47,2.606
0.0,2.606
0.04,2.606
0.05,2.606
0.08,2.606
0.09,2.606
0.17,2.606
0.2,2.606
0.21,2.606
0.25,2.606
0.22,2.606
0.3,2.606
0.32,2.606
0.33,2.606
0.37,2.606
0.38,2.606
0.4,2.606
0.44,2.606
0.45,2.606
0.46,2.606
0.29,2.606
0.5,2.607
0.65,2.607
0.53,2.607
0.49,2.607
0.42,2.607
0.88,2.607
0.45,2.607
0.44,2.607
0.67,2.607
0.47,2.607
0.69,2.607
0.83,2.607
0.71,2.607
0.72,2.607
0.74,2.607
0.75,2.607
0.77,2.607
0.78,2.607
0.79,2.607
0.8,2.607
0.81,2.607
0.7,2.607
0.4,2.607
0.3,2.607
0.37,2.607
0.38,2.607
0.03,2.607
0.04,2.607
0.08,2.607
0.09,2.607
0.1,2.607
0.11,2.607
0.12,2.607
0.14,2.607
0.17,2.607
0.0,2.607
0.19,2.607
0.18,2.607
0.33,2.607
0.28,2.607
0.27,2.607
0.35,2.607
0.24,2.607
0.22,2.607
0.2,2.607
0.25,2.607
0.59,2.608
0.47,2.608
0.5,2.608
0.52,2.608
0.55,2.608
0.56,2.608
0.58,2.608
0.64,2.608
0.81,2.608
0.7,2.608
0.73,2.608
0.75,2.608
0.83,2.608
0.86,2.608
0.87,2.608
0.88,2.608
0.93,2.608
0.67,2.608
0.45,2.608
0.37,2.608
0.39,2.608
0.42,2.608
0.0,2.608
0.03,2.608
0.04,2.608
0.1,2.608
0.13,2.608
0.15,2.608
0.17,2.608
0.12,2.608
0.22,2.608
0.19,2.608
0.31,2.608
0.3,2.608
0.28,2.608
0.33,2.608
0.25,2.608
0.23,2.608
0.26,2.608
0.69,2.609
0.5,2.609
0.53,2.609
0.62,2.609
0.63,2.609
0.65,2.609
0.67,2.609
0.77,2.609
0.46,2.609
0.8,2.609
0.81,2.609
0.83,2.609
0.85,2.609
0.87,2.609
0.9,2.609
0.92,2.609
0.78,2.609
0.42,2.609
0.12,2.609
0.38,2.609
0.0,2.609
0.04,2.609
0.06,2.609
0.07,2.609
0.14,2.609
0.15,2.609
0.17,2.609
0.18,2.609
0.4,2.609
0.22,2.609
0.25,2.609
0.28,2.609
0.2,2.609
0.29,2.609
0.3,2.609
0.31,2.609
0.33,2.609
0.6,2.61
0.57,2.61
0.56,2.61
0.46,2.61
0.5,2.61
0.48,2.61
0.61,2.61
0.53,2.61
0.62,2.61
0.73,2.61
0.7,2.61
0.72,2.61
0.43,2.61
0.75,2.61
0.78,2.61
0.79,2.61
0.8,2.61
0.83,2.61
0.86,2.61
0.67,2.61
0.4,2.61
0.47,2.61
0.37,2.61
0.0,2.61
0.04,2.61
0.07,2.61
0.38,2.61
0.11,2.61
0.12,2.61
0.13,2.61
0.14,2.61
0.16,2.61
0.17,2.61
0.1,2.61
0.2,2.61
0.19,2.61
0.36,2.61
0.31,2.61
0.3,2.61
0.33,2.61
0.28,2.61
0.25,2.61
0.24,2.61
0.29,2.61
0.37,2.611
0.86,2.611
0.4,2.611
0.43,2.611
0.46,2.611
0.56,2.611
0.58,2.611
0.78,2.611
0.67,2.611
0.72,2.611
0.75,2.611
0.8,2.611
0.84,2.611
0.36,2.611
0.62,2.611
0.33,2.611
0.57,2.611
0.29,2.611
0.3,2.611
0.0,2.611
0.03,2.611
0.06,2.611
0.07,2.611
0.11,2.611
0.12,2.611
0.13,2.611
0.38,2.611
0.15,2.611
0.17,2.611
0.2,2.611
0.23,2.611
0.25,2.611
0.27,2.611
0.28,2.611
0.14,2.611
0.44,2.612
0.5,2.612
0.54,2.612
0.6,2.612
0.61,2.612
0.67,2.612
0.68,2.612
0.7,2.612
0.75,2.612
0.73,2.612
0.4,2.612
0.79,2.612
0.8,2.612
0.81,2.612
0.83,2.612
0.85,2.612
0.89,2.612
0.92,2.612
0.94,2.612
0.72,2.612
0.38,2.612
0.65,2.612
0.35,2.612
0.36,2.612
0.0,2.612
0.05,2.612
0.06,2.612
0.1,2.612
0.11,2.612
0.12,2.612
0.13,2.612
0.16,2.612
0.17,2.612
0.48,2.612
0.19,2.612
0.18,2.612
0.31,2.612
0.29,2.612
0.27,2.612
0.33,2.612
0.22,2.612
0.21,2.612
0.2,2.612
0.25,2.612
0.43,2.613
0.47,2.613
0.65,2.613
0.49,2.613
0.5,2.613
0.51,2.613
0.52,2.613
0.6,2.613
0.62,2.613
0.63,2.613
0.67,2.613
0.73,2.613
0.69,2.613
0.7,2.613
0.71,2.613
0.75,2.613
0.76,2.613
0.78,2.613
0.85,2.613
0.88,2.613
0.42,2.613
0.91,2.613
0.68,2.613
0.89,2.613
0.4,2.613
0.37,2.613
0.0,2.613
0.03,2.613
0.05,2.613
0.07,2.613
0.08,2.613
0.1,2.613
0.12,2.613
0.13,2.613
0.14,2.613
0.17,2.613
0.18,2.613
0.38,2.613
0.2,2.613
0.19,2.613
0.35,2.613
0.32,2.613
0.31,2.613
0.3,2.613
0.33,2.613
0.26,2.613
0.25,2.613
0.24,2.613
0.23,2.613
0.29,2.613
0.58,2.614
0.4,2.614
0.43,2.614
0.44,2.614
0.47,2.614
0.55,2.614
0.56,2.614
0.61,2.614
0.79,2.614
0.63,2.614
0.67,2.614
0.78,2.614
0.38,2.614
0.81,2.614
0.88,2.614
0.9,2.614
0.93,2.614
0.62,2.614
0.37,2.614
0.42,2.614
0.33,2.614
0.35,2.614
0.0,2.614
0.02,2.614
0.03,2.614
0.04,2.614
0.06,2.614
0.08,2.614
0.1,2.614
0.16,2.614
0.3,2.614
0.2,2.614
0.22,2.614
0.23,2.614
0.24,2.614
0.25,2.614
0.27,2.614
0.28,2.614
0.17,2.614
0.42,2.615
0.44,2.615
0.47,2.615
0.5,2.615
0.56,2.615
0.6,2.615
0.62,2.615
0.64,2.615
0.75,2.615
0.71,2.615
0.73,2.615
0.78,2.615
0.8,2.615
0.86,2.615
0.88,2.615
0.89,2.615
0.39,2.615
0.7,2.615
0.9,2.615
0.38,2.615
0.33,2.615
0.0,2.615
0.03,2.615
0.04,2.615
0.05,2.615
0.07,2.615
0.08,2.615
0.11,2.615
0.12,2.615
0.34,2.615
0.17,2.615
0.2,2.615
0.22,2.615
0.23,2.615
0.25,2.615
0.29,2.615
0.3,2.615
0.32,2.615
0.13,2.615
0.64,2.616
0.63,2.616
0.6,2.616
0.48,2.616
0.56,2.616
0.5,2.616
0.67,2.616
0.42,2.616
0.59,2.616
0.68,2.616
0.75,2.616
0.71,2.616
0.73,2.616
0.74,2.616
0.8,2.616
0.81,2.616
0.85,2.616
0.86,2.616
0.4,2.616
0.9,2.616
0.93,2.616
0.7,2.616
0.89,2.616
0.38,2.616
0.36,2.616
0.0,2.616
0.03,2.616
